operator_name,operator_code,country_code
Hekurudha Shqiptare,HSH,AL
Հայկական Երկաթուղի փբը,ՀԵ,AM
Österreichische Bundesbahnen,ÖBB,AT
Azərbaycan Dəmir Yolları,ADY,AZ
Željeznice Bosne i Hercegovine,,BA
Nationale Maatschappij der Belgische Spoorwegen,NMBS,BE
Български държавни железници,БДЖ - BDŻ,BG
Беларуская чыгунка,БЧ,BY
Schweizerische Bundesbahnen,SBB,CH
Cyprus Government Railway,CGR,CY
České dráhy,ČD,CZ
Deutsche Bahn,DB,DE
Danske Statsbaner,DSB,DK
Eesti Raudtee,EVR,EE
Renfe,,ES
Valtion Rautatiet,VR,FI
Société Nationale des Chemins de fer Français,SNCF,FR
British Rail,BR,GB
საქართველოს რკინიგზა,სრ,GE
Σιδηρόδρομοι Ελλάδος,SE,GR
Hrvatske Željeznice,HŽ,HR
Magyar Államvasutak,MÁV,HU
Iarnród Éireann,IÉ,IE
Ferrovie dello Stato,FS,IT
Kazakhstan Temir Zholy,KTŽ,KZ
Zahnradbahn Honau-Lichtenstein,ZHB,LI
Lietuvos Geležinkeliai,LTG,LT
Société Nationale des Chemins de Fer Luxembourgeois,CFL,LU
Latvijas dzelzceļš,LDZ,LV
Monaco-Monte Carlo Metro,,MC
Calea Ferată din Moldova,CFM,MD
Željeznica Crne Gore,ŽCG,ME
Македонски Железници,Makedonski Železnici,MK
Nederlandse Spoorwegen,NS,NL
Vygruppen,Vy,NO
Polskie Koleje Państwowe,PKP,PL
Comboios de Portugal,CP,PT
Căile Ferate Române,CFR,RO
Železnice Srbije,ŽS,RS
Российские Железные Дороги,РЖД - RŻD,RU
SJ AB,SJ,SE
Slovenske železnice,SŽ,SI
"Železničná spoločnosť Slovensko, a. s .",ZSSK,SK
Ferrovia Rimini-San Marino,SFVET,SM
Türkiye Cumhuriyeti Devlet Demiryolları İşletmesi,TCDD,TR
Укрзалізниця,Ukrzaliznytsia,UA
Ferrovie del Vaticano,,VA
